EmployeeID,Age,Department,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,JobLevel,JobSatisfaction,Salary,Attrition,WorkLifeBalance,OverTime,MaritalStatus,DistanceFromHome,Education
2285,24,Sales,18,1,2.0,2,2.0,140497.0,Yes,3,No,Divorced,10,Doctor
60,35,Finance,18,1,2.0,5,2.0,87899.0,No,3,No,Single,13,Doctor
53,57,Sales,13,6,7.0,4,1.0,105535.0,No,2,No,Divorced,11,Below College
649,19,Sales,4,8,5.0,4,3.0,46464.0,No,4,Yes,Married,28,Bachelor
2979,51,Sales,18,3,4.0,2,2.0,45072.0,No,3,Yes,Divorced,19,Bachelor
1045,40,Sales,15,7,1.0,5,4.0,46926.0,Yes,3,Yes,Married,28,Doctor
1128,49,Engineering,21,12,9.0,3,2.0,32998.0,No,3,No,Divorced,9,Master
1443,59,Marketing,18,14,8.0,2,3.0,107875.0,No,2,Yes,Married,48,Doctor
1601,41,Sales,12,14,6.0,4,2.0,128470.0,No,2,Yes,Single,46,Master
2506,29,HR,26,11,2.0,3,1.0,147105.0,No,3,No,Married,30,Doctor
1504,46,Finance,27,5,3.0,3,3.0,122862.0,No,4,No,Single,1,Below College
356,33,Marketing,22,9,5.0,2,3.0,139507.0,No,3,Yes,Single,41,Below College
846,23,HR,18,7,8.0,5,1.0,118670.0,No,2,No,Divorced,34,Doctor
797,31,Marketing,9,8,1.0,2,4.0,130877.0,No,1,No,Married,46,Below College
2409,30,HR,18,6,8.0,2,4.0,42043.0,Yes,2,Yes,Single,32,Master
1039,46,Sales,7,7,2.0,1,1.0,66994.0,Yes,1,Yes,Married,12,Below College
2301,40,Marketing,36,14,6.0,3,2.0,129987.0,No,3,No,Divorced,47,Below College
1574,46,Sales,31,10,7.0,5,2.0,104314.0,No,2,No,Married,8,College
240,33,Marketing,17,2,8.0,5,1.0,70397.0,No,1,Yes,Married,46,Doctor
1774,25,Sales,28,4,7.0,3,1.0,134191.0,No,2,Yes,Single,47,Bachelor
1552,29,Marketing,12,2,5.0,5,2.0,142516.0,No,2,No,Divorced,29,Doctor
2391,42,Finance,9,8,6.0,2,3.0,77401.0,No,2,No,Divorced,1,Master
1548,46,Sales,36,8,1.0,3,4.0,126485.0,No,1,Yes,Married,46,College
2809,28,Engineering,12,10,9.0,3,3.0,62162.0,Yes,3,No,Divorced,45,Doctor
2054,52,Sales,15,3,9.0,3,1.0,82536.0,Yes,1,No,Divorced,39,Below College
1491,48,HR,19,11,7.0,2,4.0,67372.0,No,4,Yes,Married,10,College
1900,58,Finance,3,1,5.0,4,4.0,134135.0,No,4,Yes,Single,11,Bachelor
792,39,Sales,30,6,2.0,3,2.0,49622.0,No,1,Yes,Married,34,Bachelor
2188,47,HR,12,2,4.0,2,4.0,99874.0,No,3,Yes,Single,38,Below College
1407,43,HR,11,4,2.0,4,1.0,61050.0,No,4,Yes,Divorced,19,College
2840,50,HR,15,4,,2,1.0,56250.0,No,4,No,Single,27,Master
2501,26,Finance,37,14,9.0,2,3.0,94566.0,Yes,1,Yes,Married,18,Bachelor
2596,38,Finance,31,7,7.0,3,1.0,123639.0,No,2,No,Single,30,Master
354,18,Engineering,13,8,8.0,3,2.0,108636.0,Yes,1,Yes,Married,22,Doctor
364,49,Sales,20,14,3.0,4,3.0,37006.0,No,1,Yes,Single,16,College
1611,25,Sales,3,1,1.0,2,3.0,98310.0,No,1,Yes,Married,48,College
723,44,Marketing,38,9,2.0,2,2.0,143605.0,No,4,Yes,Divorced,4,Bachelor
2550,48,Engineering,31,9,3.0,4,3.0,124333.0,No,4,No,Married,6,College
578,36,Finance,26,9,4.0,4,1.0,104083.0,No,3,Yes,Married,6,Master
1638,38,HR,18,5,7.0,3,1.0,89491.0,No,4,No,Divorced,15,Doctor
43,43,Marketing,27,10,8.0,5,4.0,71912.0,No,3,No,Divorced,47,Doctor
1238,19,Marketing,33,6,2.0,2,2.0,127127.0,No,4,No,Single,22,Below College
1750,45,Marketing,11,7,8.0,1,4.0,40935.0,Yes,2,Yes,Married,23,Master
451,37,Marketing,6,1,9.0,1,1.0,45007.0,No,4,Yes,Married,12,College
76,43,Engineering,14,10,9.0,5,2.0,91046.0,No,2,No,Married,28,Bachelor
2686,23,HR,36,6,2.0,2,1.0,82788.0,No,3,Yes,Single,37,Bachelor
898,40,Sales,6,8,5.0,1,4.0,75630.0,No,3,No,Single,20,Doctor
2690,27,Finance,2,4,5.0,2,2.0,93996.0,No,2,No,Divorced,30,Master
1389,21,Engineering,2,1,1.0,5,3.0,126558.0,No,4,No,Single,27,College
368,39,Marketing,5,10,3.0,5,2.0,62171.0,No,2,Yes,Married,36,Bachelor
1602,29,Engineering,25,3,4.0,1,2.0,106438.0,No,1,Yes,Divorced,26,College
2778,26,Finance,13,2,5.0,4,1.0,142846.0,Yes,3,Yes,Married,23,Master
1110,19,Sales,37,9,9.0,1,2.0,149365.0,No,4,Yes,Married,47,College
1569,30,Finance,33,6,3.0,3,1.0,114528.0,No,3,Yes,Married,34,Master
2160,53,Marketing,17,5,1.0,2,1.0,82682.0,No,3,Yes,Married,4,Below College
1933,36,Sales,3,10,7.0,3,1.0,43146.0,No,1,Yes,Single,7,Below College
2287,45,Marketing,31,6,1.0,2,4.0,137974.0,No,2,Yes,Married,19,Below College
159,18,Marketing,26,5,5.0,5,1.0,61459.0,No,3,Yes,Single,47,College
668,18,Engineering,3,5,9.0,3,3.0,105036.0,No,2,Yes,Divorced,25,Below College
1793,34,Engineering,39,1,2.0,5,2.0,113127.0,No,2,No,Single,26,Below College
554,59,HR,35,12,7.0,4,1.0,106607.0,No,3,Yes,Single,4,College
1455,22,Engineering,38,8,5.0,3,2.0,113967.0,No,4,Yes,Single,1,College
503,30,Marketing,18,4,2.0,4,2.0,72180.0,No,3,No,Divorced,29,Bachelor
1098,36,HR,5,9,5.0,5,4.0,75294.0,No,4,No,Married,39,Bachelor
1281,29,Engineering,9,14,4.0,3,3.0,48313.0,No,3,No,Single,15,Master
1684,51,Sales,10,4,2.0,1,3.0,93027.0,No,3,Yes,Married,30,Master
2533,21,Engineering,21,14,7.0,5,1.0,79800.0,No,2,No,Divorced,30,Master
172,41,HR,16,6,4.0,4,3.0,102623.0,No,3,No,Divorced,17,Below College
1819,37,HR,6,5,9.0,2,4.0,74016.0,No,3,No,Divorced,8,Below College
825,20,HR,20,1,6.0,3,4.0,113213.0,No,1,Yes,Single,27,College
526,33,Sales,28,3,1.0,4,4.0,116424.0,Yes,3,No,Divorced,18,College
225,50,HR,11,8,8.0,2,2.0,120060.0,No,2,No,Single,5,College
2975,20,Sales,31,6,5.0,2,2.0,141539.0,No,1,No,Single,47,College
1725,49,Finance,31,9,1.0,4,4.0,87907.0,No,1,No,Divorced,47,College
651,47,HR,23,8,6.0,3,1.0,79409.0,No,4,Yes,Single,25,College
858,53,Sales,39,9,8.0,2,4.0,105409.0,No,4,No,Divorced,2,Doctor
1935,42,Engineering,18,11,7.0,2,2.0,75939.0,Yes,4,No,Married,45,Below College
1832,37,Engineering,32,3,1.0,1,1.0,110952.0,No,1,No,Divorced,2,Master
2092,23,Engineering,29,11,9.0,4,3.0,130653.0,No,3,Yes,Married,45,Master
209,50,Engineering,16,11,2.0,5,2.0,72464.0,No,1,Yes,Married,31,Below College
2612,37,HR,13,5,1.0,3,1.0,56866.0,No,3,Yes,Single,25,Master
712,31,Finance,1,10,6.0,2,1.0,90859.0,No,4,No,Divorced,9,Below College
1954,45,Finance,32,2,5.0,2,1.0,139305.0,No,2,Yes,Married,15,Bachelor
2350,40,Marketing,23,7,3.0,3,2.0,47864.0,No,1,Yes,Single,20,Below College
1085,34,Sales,5,12,6.0,3,1.0,104039.0,No,1,No,Divorced,36,Below College
251,36,Marketing,18,5,3.0,2,3.0,42631.0,No,2,No,Divorced,39,College
498,41,HR,33,6,1.0,4,1.0,52357.0,No,1,No,Single,22,Master
2249,36,Sales,37,5,8.0,3,1.0,86195.0,Yes,1,Yes,Single,9,Master
1421,41,Finance,37,12,1.0,5,,73815.0,No,1,No,Married,22,Master
1463,30,Engineering,29,11,5.0,3,3.0,115017.0,Yes,3,Yes,Married,18,College
72,38,Engineering,4,5,1.0,3,3.0,103703.0,No,1,Yes,Married,25,Doctor
851,48,Sales,35,5,5.0,1,3.0,90378.0,No,1,No,Divorced,14,Below College
1101,46,Sales,26,13,7.0,3,2.0,41351.0,No,2,No,Single,16,Master
1615,20,Sales,24,3,7.0,1,4.0,125446.0,No,3,No,Married,39,Master
1536,21,HR,1,4,5.0,5,2.0,32484.0,No,2,No,Single,14,Below College
245,22,Finance,21,11,6.0,5,1.0,49943.0,No,3,Yes,Married,23,Master
2811,26,Finance,18,11,6.0,2,2.0,64889.0,No,4,Yes,Married,34,Bachelor
2372,53,Marketing,24,9,2.0,2,3.0,90861.0,No,1,No,Divorced,20,Below College
885,18,HR,15,2,7.0,5,4.0,53430.0,Yes,1,Yes,Single,8,Bachelor
425,43,HR,11,12,9.0,5,2.0,130146.0,No,2,Yes,Divorced,23,Doctor
1220,29,Finance,15,1,2.0,2,1.0,47178.0,No,3,Yes,Divorced,32,Bachelor
2753,35,Finance,11,8,9.0,4,3.0,96550.0,No,1,No,Divorced,31,College
1501,19,Sales,4,10,8.0,3,4.0,149346.0,No,1,Yes,Single,12,Master
1296,33,Sales,4,11,8.0,1,4.0,149625.0,Yes,2,Yes,Divorced,15,Master
1135,40,HR,9,7,5.0,4,3.0,108033.0,No,1,No,Divorced,44,Doctor
2451,42,Finance,2,10,1.0,1,3.0,43882.0,No,4,No,Divorced,32,Bachelor
2028,41,HR,7,3,1.0,2,1.0,80502.0,No,3,No,Divorced,23,Doctor
2021,43,Sales,35,13,9.0,1,1.0,44601.0,No,1,Yes,Divorced,18,Doctor
2882,52,Marketing,36,11,9.0,5,4.0,90977.0,No,3,Yes,Single,4,Master
1228,44,Engineering,18,7,9.0,2,2.0,43262.0,No,1,No,Single,1,Doctor
515,53,HR,5,7,8.0,2,4.0,53100.0,Yes,1,Yes,Divorced,39,Bachelor
540,22,Marketing,23,4,6.0,5,2.0,147017.0,No,4,Yes,Single,2,Doctor
2450,39,HR,26,10,4.0,2,4.0,110865.0,Yes,1,No,Single,44,Doctor
2223,23,Engineering,11,3,4.0,3,3.0,76741.0,No,2,No,Married,22,Bachelor
2303,22,Finance,21,5,8.0,1,1.0,74494.0,Yes,3,No,Divorced,39,College
837,23,Sales,18,3,8.0,5,1.0,84039.0,No,4,Yes,Married,41,Below College
1129,24,HR,8,13,1.0,2,3.0,91265.0,No,3,Yes,Single,30,Bachelor
350,30,Engineering,16,6,8.0,3,1.0,117954.0,No,3,No,Married,32,Master
835,58,HR,27,2,8.0,1,3.0,123906.0,No,4,No,Divorced,47,Below College
1022,43,HR,38,14,1.0,1,3.0,72376.0,Yes,3,No,Single,44,Bachelor
2271,50,Finance,33,5,4.0,5,2.0,53157.0,No,2,No,Married,11,Bachelor
809,42,Finance,11,1,6.0,2,2.0,37311.0,No,4,No,Divorced,47,Doctor
2803,45,Marketing,20,3,8.0,1,2.0,57268.0,No,2,No,Married,20,Doctor
2972,21,Finance,28,11,1.0,5,4.0,68941.0,Yes,4,No,Divorced,25,Doctor
4,25,Sales,16,10,2.0,2,1.0,141151.0,No,3,No,Married,47,Bachelor
2717,32,Sales,17,3,7.0,3,4.0,117114.0,No,3,Yes,Single,42,Bachelor
1850,41,Sales,15,3,7.0,5,3.0,104099.0,No,4,No,Divorced,7,Master
626,45,Marketing,4,14,3.0,3,4.0,91049.0,No,4,Yes,Single,49,College
2292,39,Marketing,37,8,3.0,2,2.0,64374.0,Yes,3,No,Married,4,Master
2737,36,HR,3,1,2.0,1,1.0,80411.0,No,3,Yes,Single,29,Bachelor
1375,18,Engineering,25,13,6.0,4,1.0,128995.0,No,4,Yes,Divorced,17,Below College
565,39,Engineering,29,13,5.0,3,3.0,76606.0,No,2,No,Divorced,5,Bachelor
2076,36,Sales,7,3,1.0,4,3.0,50110.0,No,1,Yes,Single,21,College
1379,47,Engineering,7,7,3.0,5,3.0,46453.0,No,1,Yes,Divorced,15,Master
430,47,Sales,8,5,3.0,5,3.0,101101.0,No,2,No,Divorced,11,College
128,43,Sales,10,6,1.0,1,2.0,146853.0,No,1,Yes,Single,15,Master
1316,24,HR,14,11,5.0,5,3.0,141114.0,No,2,Yes,Divorced,22,Bachelor
2619,59,Sales,20,3,4.0,3,1.0,82838.0,No,3,Yes,Single,11,Doctor
1787,56,Finance,12,10,2.0,5,2.0,139870.0,No,4,No,Divorced,27,Master
2682,56,Finance,25,13,3.0,3,3.0,135454.0,No,1,No,Married,2,Below College
2747,54,Sales,12,6,2.0,5,4.0,136369.0,No,1,No,Single,23,Master
684,34,Finance,15,1,7.0,3,2.0,117957.0,No,3,Yes,Married,41,College
222,49,Sales,22,7,5.0,3,1.0,106982.0,No,4,Yes,Single,9,Bachelor
754,57,Marketing,3,9,3.0,3,4.0,118713.0,No,4,No,Divorced,45,Below College
1858,37,Engineering,7,3,4.0,3,1.0,101835.0,No,4,Yes,Married,27,Bachelor
2724,45,Engineering,18,11,7.0,2,1.0,78266.0,No,2,No,Divorced,38,Below College
602,53,Finance,38,14,6.0,1,4.0,95875.0,No,2,Yes,Divorced,44,Master
836,54,Engineering,28,1,1.0,1,3.0,117469.0,Yes,4,Yes,Single,11,College
2203,44,Engineering,7,13,6.0,5,3.0,93440.0,No,2,Yes,Married,41,Master
772,18,Sales,7,11,2.0,3,2.0,38727.0,No,3,No,Married,6,College
2673,59,Marketing,29,2,8.0,4,1.0,31611.0,No,1,No,Single,41,College
2758,19,Engineering,30,12,4.0,3,4.0,76969.0,No,4,No,Single,5,Below College
572,48,Engineering,30,11,7.0,4,1.0,130578.0,No,1,No,Single,10,Doctor
2694,39,Sales,28,10,5.0,1,1.0,40924.0,No,2,No,Single,3,Doctor
2929,58,Finance,16,8,7.0,1,3.0,46564.0,Yes,2,Yes,Divorced,20,Doctor
793,31,Sales,12,2,1.0,1,4.0,134041.0,No,4,Yes,Single,5,College
1452,32,Marketing,38,3,9.0,2,2.0,58528.0,No,3,Yes,Divorced,30,Below College
1000,22,Engineering,22,1,6.0,1,3.0,62261.0,No,1,No,Married,46,Doctor
601,54,Finance,15,3,9.0,3,2.0,50271.0,No,4,Yes,Married,36,College
1998,47,HR,6,10,9.0,5,3.0,30620.0,Yes,4,No,Single,44,Master
384,33,Marketing,21,4,4.0,4,2.0,53154.0,Yes,2,Yes,Single,13,Doctor
65,31,Finance,3,14,2.0,3,3.0,117858.0,No,2,No,Divorced,45,College
91,25,Marketing,30,8,2.0,2,4.0,118520.0,No,4,Yes,Single,33,Doctor
701,20,Finance,10,4,6.0,1,3.0,68767.0,No,3,No,Divorced,18,Below College
1170,28,Marketing,27,3,3.0,1,1.0,91134.0,Yes,1,Yes,Married,10,Doctor
2632,42,Finance,10,6,6.0,3,1.0,125798.0,No,3,Yes,Divorced,21,Bachelor
2912,26,Engineering,17,10,6.0,1,1.0,31027.0,No,2,No,Divorced,42,College
1061,52,Engineering,33,2,8.0,2,4.0,66434.0,No,2,Yes,Married,30,Master
2916,28,HR,5,10,5.0,4,3.0,74954.0,No,3,Yes,Divorced,6,College
1988,33,Sales,16,9,1.0,5,2.0,125941.0,No,1,No,Married,38,Master
1606,44,Marketing,5,10,3.0,4,4.0,61126.0,No,1,No,Married,15,College
1359,30,Engineering,3,6,6.0,3,1.0,131733.0,No,1,Yes,Single,47,Below College
57,59,Engineering,39,1,2.0,3,3.0,135076.0,No,3,No,Single,47,College
2246,46,Sales,38,4,6.0,1,2.0,101366.0,No,4,No,Single,28,Doctor
2581,22,Engineering,10,10,4.0,3,4.0,34225.0,No,2,No,Married,8,Master
1429,21,Marketing,12,13,9.0,5,3.0,122712.0,No,2,Yes,Single,27,Master
427,56,Finance,10,12,3.0,4,1.0,38058.0,No,1,Yes,Single,30,Below College
2680,45,Engineering,26,10,1.0,2,3.0,137754.0,No,3,Yes,Single,10,Doctor
2273,21,Marketing,6,14,6.0,4,1.0,80559.0,No,1,No,Married,25,Below College
2754,59,Sales,8,4,6.0,3,1.0,76295.0,No,2,No,Married,26,Below College
1856,40,Finance,12,9,2.0,2,4.0,44772.0,Yes,2,Yes,Single,44,Master
1760,51,HR,37,11,7.0,4,4.0,43829.0,No,4,Yes,Married,18,Doctor
123,56,Finance,26,3,6.0,4,4.0,113504.0,Yes,4,No,Married,32,Bachelor
120,22,HR,27,4,5.0,2,3.0,45964.0,No,1,Yes,Married,14,Bachelor
495,35,Marketing,2,1,4.0,3,4.0,142000.0,No,4,Yes,Single,14,Doctor
718,55,Engineering,21,3,7.0,2,2.0,119653.0,No,1,No,Married,38,Bachelor
1846,31,Engineering,37,6,9.0,3,4.0,117125.0,No,2,Yes,Single,47,Below College
459,20,Marketing,21,7,3.0,3,3.0,119640.0,No,4,No,Divorced,47,Bachelor
1777,40,Engineering,29,11,3.0,5,2.0,72681.0,No,1,Yes,Married,32,College
194,43,Finance,14,13,4.0,2,1.0,108363.0,No,1,No,Single,23,College
1367,46,Engineering,2,3,2.0,5,4.0,46611.0,No,3,Yes,Single,42,Doctor
2933,29,Sales,14,2,4.0,2,2.0,95481.0,No,4,Yes,Married,18,College
571,23,Finance,16,2,5.0,5,1.0,40515.0,No,2,No,Married,24,College
313,54,HR,7,1,1.0,3,1.0,134903.0,No,4,Yes,Divorced,44,College
918,31,Sales,6,2,4.0,3,1.0,100600.0,No,3,Yes,Single,8,Below College
2278,56,Engineering,33,10,8.0,5,2.0,37546.0,No,1,No,Single,43,Doctor
1351,50,Marketing,12,3,6.0,4,1.0,120841.0,No,3,No,Married,16,Master
1467,46,Sales,6,4,9.0,3,1.0,,No,4,Yes,Married,23,College
34,24,Marketing,18,6,1.0,5,2.0,135987.0,No,3,Yes,Single,32,Below College
2997,59,Finance,15,13,4.0,5,2.0,121627.0,No,4,Yes,Divorced,16,Doctor
923,52,HR,9,1,9.0,1,4.0,117732.0,No,2,Yes,Divorced,7,Master
1651,28,Finance,15,8,5.0,1,3.0,107972.0,No,4,No,Single,30,Below College
2334,58,Sales,33,13,8.0,4,2.0,64409.0,No,2,Yes,Divorced,48,Below College
949,56,Finance,2,14,6.0,1,1.0,40086.0,No,2,Yes,Single,27,Bachelor
1608,42,Engineering,22,12,5.0,4,1.0,140905.0,No,2,Yes,Married,20,Below College
1006,48,Sales,37,3,5.0,3,1.0,78022.0,No,4,No,Single,10,Doctor
1176,37,Engineering,23,1,6.0,3,4.0,109019.0,Yes,1,No,Divorced,36,Bachelor
2252,36,Sales,24,7,1.0,2,1.0,104979.0,No,1,Yes,Married,18,Bachelor
2170,28,Finance,11,5,1.0,4,2.0,79506.0,Yes,4,No,Single,14,Bachelor
1966,23,Finance,7,3,5.0,1,1.0,133427.0,No,1,Yes,Single,20,Bachelor
486,38,Engineering,20,3,2.0,4,3.0,106407.0,No,2,No,Single,18,Bachelor
1871,51,Engineering,24,12,9.0,1,2.0,76209.0,Yes,2,Yes,Married,29,College
2320,35,Marketing,8,8,7.0,1,1.0,138126.0,No,2,Yes,Married,35,Master
1876,35,Marketing,36,2,5.0,4,4.0,147828.0,No,3,Yes,Single,31,Master
543,46,Engineering,15,3,9.0,5,3.0,82429.0,Yes,1,Yes,Married,11,Doctor
1823,37,Finance,12,1,9.0,4,4.0,38222.0,No,1,Yes,Married,44,Doctor
1453,55,Marketing,2,7,4.0,4,3.0,145920.0,Yes,4,No,Single,47,Bachelor
196,23,Marketing,6,10,9.0,1,1.0,137904.0,No,3,Yes,Single,12,Doctor
2341,38,HR,3,14,3.0,5,4.0,125661.0,No,2,Yes,Divorced,36,Doctor
2043,27,HR,25,4,5.0,1,4.0,125071.0,No,1,No,Single,23,College
715,56,HR,14,2,7.0,5,1.0,117787.0,No,2,Yes,Married,29,Master
675,22,Engineering,31,2,1.0,2,1.0,112410.0,No,2,No,Divorced,45,College
2174,21,Sales,36,12,2.0,5,3.0,142172.0,Yes,3,Yes,Divorced,18,College
2799,51,Engineering,32,14,2.0,2,3.0,78101.0,No,3,Yes,Single,16,College
2354,49,Sales,10,12,3.0,3,2.0,70131.0,No,2,No,Divorced,31,Bachelor
1673,47,Marketing,17,12,3.0,1,4.0,130330.0,No,4,Yes,Married,22,Master
2813,41,Finance,23,11,1.0,1,3.0,65777.0,No,2,No,Single,46,Master
778,31,Engineering,36,14,5.0,2,1.0,71417.0,No,3,No,Divorced,1,Doctor
1461,45,HR,10,7,8.0,2,1.0,102417.0,No,4,No,Single,16,Bachelor
802,24,Sales,18,4,9.0,4,3.0,90477.0,No,1,No,Married,44,Below College
505,42,Marketing,30,4,1.0,2,3.0,104312.0,No,3,Yes,Divorced,35,Below College
213,46,Engineering,28,3,1.0,4,1.0,127481.0,No,2,No,Divorced,42,Below College
1230,51,Sales,39,11,3.0,4,4.0,137943.0,No,4,Yes,Divorced,27,Doctor
2349,34,Engineering,21,6,2.0,3,1.0,85709.0,No,4,No,Single,12,Below College
2780,28,Marketing,28,5,8.0,5,1.0,31869.0,Yes,3,No,Married,13,Below College
1844,22,Marketing,18,12,3.0,1,2.0,78533.0,No,2,No,Single,25,Master
398,18,Sales,17,14,2.0,5,2.0,105886.0,No,2,Yes,Married,11,Doctor
1906,58,Sales,23,4,2.0,1,4.0,58205.0,No,4,Yes,Divorced,33,Master
2693,19,HR,9,14,6.0,1,1.0,123614.0,No,4,Yes,Single,2,College
1335,41,Engineering,13,10,5.0,1,4.0,80243.0,No,4,Yes,Divorced,38,Below College
1889,48,Engineering,39,6,8.0,5,3.0,144434.0,No,2,Yes,Married,9,Master
